date, pm25, o3, no2, so2, co
2022/4/3, 58, 58, 6, , 14
2022/4/4, 69, 52, 6, 1, 15
2022/4/5, 65, 51, 5, 1, 14
2022/4/6, 57, 57, 5, , 15
2022/4/7, 58, 75, 6, 1, 16
2022/4/8, 81, 51, 3, , 15
2022/4/9, 67, 69, 5, , 16
2022/4/10, 57, 50, 4, , 17
2022/4/11, 66, 49, 3, 1, 18
2022/4/12, 65, 47, 4, 1, 18
2022/4/13, 57, 52, 5, , 18
2022/4/14, 51, 53, 5, , 20
2022/4/15, 54, 51, 2, , 20
2022/4/16, 52, 59, 4, , 20
2022/4/17, 53, 58, 4, , 21
2022/4/18, 48, 47, 3, , 21
2022/4/19, 50, 56, 3, 1, 21
2022/4/20, 70, 71, 5, 1, 23
2022/4/21, 51, 69, 5, 1, 23
2022/4/22, 59, 69, 4, , 22
2022/4/23, 56, 62, 6, 1, 25
2022/4/24, 53, 56, 4, , 24
2022/4/25, 87, 55, 3, , 24
2022/4/26, 26, 48, 6, , 24
2022/4/27, 30, 64, 8, 1, 25
2022/4/28, 25, 60, 5, 1, 25
2022/4/29, 29, 69, 6, , 26
2022/4/30, 50, 60, 4, , 26
2022/5/1, 386, 56, 3, , 26
2022/5/16, 82, 71, 3, , 1
2022/5/17, 71, 68, 2, , 1
2022/5/18, 91, 73, 2, , 2
2022/5/19, 96, 76, 2, , 4
2022/5/20, 112, 78, 4, , 4
2022/5/21, 88, 86, 4, 1, 7
2022/5/22, 133, 65, 2, , 5
2022/5/23, 115, 90, 5, , 6
2022/5/24, 55, 65, 4, , 6
2022/5/25, 69, 80, 2, , 6
2022/5/26, 45, 90, 3, , 6
2022/5/28, 59, 49, 1, , 5
2022/6/4, 20, 59, 2, , 1
2022/6/5, 29, 47, 3, , 1
2022/6/6, 35, 51, 3, , 3
2022/6/7, 30, 55, 5, , 5
2022/6/8, 28, 57, 2, , 5
2022/6/9, 29, 39, 3, , 5
2022/6/10, 218, 37, 4, , 4
2022/6/17, 143, 41, 5, , 5
2022/6/18, 424, 21, 10, , 5
