date, pm25, o3, no2, so2, co
2024/5/15, 91, 34, 4, , 3
2024/5/16, 83, 27, 5, , 4
2024/5/17, 75, 44, 5, , 5
2024/5/18, 98, 23, 5, , 5
2024/5/19, 89, 37, 2, , 5
2024/5/20, 82, 21, 3, , 4
2024/5/21, 58, 7, 3, , 4
2024/5/22, 49, , , , 
2024/5/27, 62, 24, 3, , 6
2024/5/28, 56, 16, 2, , 6
2024/5/29, 72, , , , 
2024/6/12, 99, 39, 7, , 8
2024/6/13, 51, 71, 7, , 8
2024/6/14, 42, 22, 7, , 9
2024/6/15, 48, 20, 5, , 9
2024/6/16, 49, 13, 3, , 9
2024/6/17, 79, 14, 4, , 9
2024/6/18, 49, 11, 5, , 9
2024/6/19, 52, 17, 4, , 10
2024/6/20, 54, 13, 2, , 9
2024/6/21, 30, , , , 
2024/6/23, 89, 15, 4, , 10
2024/6/24, 56, 13, 6, , 11
2024/6/25, 59, 12, 6, , 11
2024/6/26, 72, 10, 5, , 11
2024/6/27, 67, 22, 5, , 11
2024/6/28, 67, 22, 4, , 11
2024/6/29, 56, 14, 2, , 10
2024/6/30, 34, 14, 2, , 11
2024/7/1, 78, 15, 5, , 12
2021/10/2, 52, 11, , , 1
2021/10/3, 51, 13, , , 1
2021/10/4, 54, 13, , , 1
2021/10/5, 56, 14, , 1, 1
2021/10/6, 61, 14, , , 1
2021/10/7, 49, 12, , , 1
2021/10/8, 52, 11, , 1, 2
2021/10/9, 74, 14, , , 2
2021/10/10, 83, 14, , , 1
2021/10/11, 69, 13, , , 1
2021/10/12, 66, 14, , , 
2021/10/13, 50, 18, , , 
2021/10/14, 55, 17, , 1, 1
2021/10/15, 57, 11, , 1, 1
2021/10/16, 54, 12, , 1, 1
2021/10/17, 46, 13, , , 1
2021/10/18, 42, 17, , 1, 1
2021/10/19, 48, 14, , 1, 5
2021/10/20, 51, 22, , 7, 12
2021/10/21, 68, 6, , , 5
2021/10/22, 311, 10, , , 3
2021/10/28, 85, 17, , , 5
2021/10/29, 80, 20, , , 6
2021/10/30, 43, 19, , , 9
2021/10/31, 59, 19, , , 7
2021/11/1, 52, 17, , , 9
2021/11/2, 47, 15, , , 10
2021/11/3, 43, 14, , , 22
2021/11/4, 35, 17, , , 99
2021/11/5, 42, 16, , , 100
2021/11/6, 39, 18, , , 
2021/11/7, 45, 16, , , 
2021/11/8, 36, 17, , , 
2021/11/9, 49, 16, , , 
2021/11/10, 44, 21, , , 
2021/11/11, 43, 16, , , 
2021/11/12, 50, 12, , , 
2021/11/13, 50, 14, , , 
2021/11/14, 52, 18, , , 
2021/11/15, 42, 19, , , 
2021/12/3, 36, 12, , , 
2021/12/11, 120, , , , 
2021/7/2, 65, 1, , , 
2021/7/3, 80, 4, , , 
2021/7/4, 62, 3, , , 
2021/7/5, 60, 4, , , 
2021/7/6, 55, 2, , , 1
2021/7/7, 58, 2, , , 1
2021/7/8, 57, 4, , , 
2021/7/9, 58, 3, , , 1
2021/7/10, 82, 4, , , 1
2021/7/11, 93, 3, , , 1
2021/7/12, 92, 4, , , 1
2021/7/13, 63, 5, , , 1
2021/7/14, 69, 3, , , 1
2021/7/15, 60, 3, , , 1
2021/7/16, 68, 4, , , 1
2021/7/17, 46, , , , 
2021/7/19, 59, 5, , , 1
2021/7/20, 57, 4, , , 1
2021/7/21, 51, 3, , , 1
2021/7/22, 52, 4, , , 
2021/7/23, 81, 26, , , 5
2021/7/24, 74, 9, , , 3
2021/7/25, 53, 15, , , 3
2021/7/26, 47, 21, , , 5
2021/7/27, 51, 11, , , 4
2021/7/28, 53, 12, , , 5
2021/7/29, 50, 11, , , 4
2021/7/30, 50, 12, , , 5
2021/7/31, 68, 12, , , 5
2021/8/1, 56, 10, , , 5
2021/8/2, 49, 12, , , 5
2021/8/3, 34, 10, , , 5
2021/8/4, 59, 12, , , 5
2021/8/5, 65, 12, , , 5
2021/8/6, 63, 10, , , 6
2021/8/7, 56, 12, , , 6
2021/8/8, 45, 11, , , 5
2021/8/9, 52, 10, , , 6
2021/8/10, 43, 14, , , 6
2021/8/11, 67, 14, , , 6
2021/8/12, 36, 14, , , 5
2021/8/13, 51, 13, , , 5
2021/8/14, 56, 16, , , 6
2021/8/15, 39, 16, , 1, 6
2021/8/16, 52, 11, , , 6
2021/8/17, 45, 10, , , 5
2021/8/18, 59, 12, , , 5
2021/8/19, 61, , , , 
2021/8/21, 79, 12, , , 8
2021/8/22, 72, 11, , , 6
2021/8/23, 67, 10, , , 8
2021/8/24, 73, 11, , , 8
2021/8/25, 99, 20, , , 9
2021/8/26, 155, 13, , , 30
2021/8/27, 87, 13, , , 500
2021/8/28, 69, 20, , , 
2021/8/29, 69, 10, , , 
